Client,Project,Task,Description,Billable,Start date,Start time,End date,End time,Duration,Tags,Amount ()
S2023,Chemistry 1,,Intro Survey,No,2023-01-10,14:00:47,2023-01-10,14:24:46,00:23:59,Domain: School,
S2023,Computer Organization,,WS1,No,2023-01-11,09:09:11,2023-01-11,09:23:06,00:13:55,Domain: School,
S2023,Database Management,,Lab 0,No,2023-01-11,13:19:45,2023-01-11,13:45:31,00:25:46,Domain: School,
S2023,Database Management,,psql configuration,No,2023-01-11,13:45:45,2023-01-11,14:02:40,00:16:55,Domain: School,
S2023,ExpModernWorld,,Assignment and Reading Imports,No,2023-01-12,13:00:00,2023-01-12,13:30:00,00:30:00,Domain: School,
S2023,ExpModernWorld,,Assignment and Reading Imports,No,2023-01-12,14:51:17,2023-01-12,14:59:16,00:07:59,Domain: School,
S2023,Computer Organization,,HW1,No,2023-01-12,15:05:21,2023-01-12,15:51:28,00:46:07,Domain: School,
S2023,Database Management,,1.2 Reading,No,2023-01-12,20:02:16,2023-01-12,20:31:42,00:29:26,Domain: School,
S2023,Music Technology,,AVSum 1,No,2023-01-16,13:27:08,2023-01-16,14:47:58,01:20:50,Domain: School,
S2023,ExpModernWorld,,Sense of Humor Discussion Post,No,2023-01-16,20:20:43,2023-01-16,21:20:00,00:59:17,Domain: School,
S2023,Music Technology,,AVSum 1,No,2023-01-17,14:18:11,2023-01-17,14:19:44,00:01:33,Domain: School,
S2023,Chemistry 1,,Math Review Mastering,No,2023-01-17,14:21:28,2023-01-17,14:44:30,00:23:02,Domain: School,
S2023,Computer Organization,,RARS Install,No,2023-01-17,16:23:52,2023-01-17,16:41:49,00:17:57,Domain: School,
S2023,Computer Organization,,RARS Install,No,2023-01-17,20:19:15,2023-01-17,20:32:12,00:12:57,Domain: School,
S2023,Chemistry 1,,Chapter 1 Mastering,No,2023-01-17,21:05:00,2023-01-17,21:33:00,00:28:00,Domain: School,
S2023,Database Management,,Week 1 WS (Snow Day),No,2023-01-18,09:49:51,2023-01-18,10:14:07,00:24:16,Domain: School,
S2023,Chemistry 1,,Excel Lab (Snow Day),No,2023-01-18,10:17:40,2023-01-18,10:31:27,00:13:47,Domain: School,
